id,status,grain_yield,test_weight,plant_height,maturity_time,heading_time,grain_moisture,lodging,FHB_DON,FHB_grain_INC,FHB_heading_time,Z_DON,Z_INC,ISK_Custom,Acceptability,Net_Merit,Net_Merit2
IL25-S529,Target,0.158181818,-8.105422779,-7.552945716,0.418440318,-0.210519745,-0.317252089,-0.979272786,0.399016433,5.425376581,0.477696674,-0.037204927,0.964318768,0.463556921,3.355737197,-70.2208821,-56.79793331
IL25-S53,Target,0.070091354,-22.48774968,-2.670058872,0.910555443,-0.745025529,-0.24853634,-1.092532487,-0.725185043,4.527011267,0.433387769,-1.119757949,0.749119945,-0.185319002,2.577968702,-180.675212,-170.3633372
IL25-S531,Target,-0.099095543,-4.851463301,-6.859732434,0.46549984,0.923994456,-0.26272137,-1.047319373,0.298541122,4.094914348,-0.717254432,-0.133957914,0.645613335,0.255827711,3.452227112,-47.28279012,-33.47388167
IL25-S532,Target,0.077217091,-1.2562363,-5.266072819,1.189801788,1.216184782,-0.094434244,-0.736640353,1.413224248,4.085899217,-0.197285471,0.939429385,0.643453806,0.791441596,1.845562155,-28.51110324,-21.12885463
IL25-S533,Target,-0.005825922,-1.453597077,-6.741475257,0.921115801,1.793477701,-0.00939078,-0.809559701,1.712695552,5.435452954,0.313704833,1.227806133,0.966732512,1.097269322,2.087688468,-34.01128997,-25.6605361
IL25-S534,Target,-0.084463542,-11.51448645,-6.906902702,0.152972378,2.316573689,-0.103582335,-1.208497397,1.173292793,6.3702456,0.934195239,0.708386706,1.190657316,0.949522011,2.842520725,-112.8198906,-101.4498077
IL25-S535,Target,-0.16348225,-6.231201754,-5.10082565,0.358195027,1.442158917,-0.232131724,-1.147780646,1.160938168,7.411650672,0.169685658,0.696489784,1.440120583,1.068305184,1.989033293,-67.44619758,-59.4900644
IL25-S536,Target,0.105038213,8.374798085,-4.530460133,2.09668273,2.934387744,0.204712442,-0.170021562,1.287734926,0.477123473,1.58127163,0.818589084,-0.221009993,0.298789545,1.444921486,45.19397024,50.97365618
IL25-S537,Target,-0.105143951,5.242554683,-2.18867264,1.592784308,2.436143058,0.618111003,0.118046263,1.147565838,-3.315015564,1.510322941,0.683612861,-1.129397533,-0.222892336,0.88013271,21.93132887,25.45185971
IL25-S538,Target,0.038615808,-0.467648653,-3.723419614,2.160568575,3.309053245,0.240037528,-0.345626582,1.012684454,-3.918978829,1.401810253,0.553728447,-1.274073849,-0.360172701,2.185256359,-27.55990317,-18.81887773
