"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1157","39","15","US17-IL-108-070 x IL18-23760","IL18-23760 x US17-IL-108-070","39 x 15","15 x 39",134.86,37.26,58.8,86.54,1.15,13.91,399.35,658,-10.42
"1158","3","17","IL18MSFRS-18 x IL18-4910","IL18-4910 x IL18MSFRS-18","3 x 17","17 x 3",133.69,37.26,58.82,87.82,0.77,8.43,421.08,80,11.31
"1159","33","17","IL19-10123 x IL18-4910","IL18-4910 x IL19-10123","33 x 17","17 x 33",130.82,37.04,58.73,83.71,1,10.69,410.41,332,0.64
"1160","23","17","IL19-12830 x IL18-4910","IL18-4910 x IL19-12830","23 x 17","17 x 23",132.59,37.32,58.94,83.52,0.93,10.62,402.26,599,-7.51
"1161","37","17","IL19-13713 x IL18-4910","IL18-4910 x IL19-13713","37 x 17","17 x 37",131.29,36.55,58.78,82.79,0.65,5.52,413.1,233,3.33
"1162","14","17","IL19-13942 x IL18-4910","IL18-4910 x IL19-13942","14 x 17","17 x 14",130.31,36.62,58.69,81.69,0.71,7.61,410.28,338.5,0.51
"1163","7","17","IL19-13978 x IL18-4910","IL18-4910 x IL19-13978","7 x 17","17 x 7",130.76,36.85,58.88,82.16,0.84,9.27,407.19,447.5,-2.58
"1164","4","17","IL19-14617 x IL18-4910","IL18-4910 x IL19-14617","4 x 17","17 x 4",130.14,36.86,58.69,85.41,1.02,11.11,420.69,85,10.92
"1165","1","17","IL19-14856 x IL18-4910","IL18-4910 x IL19-14856","1 x 17","17 x 1",130.54,37.46,58.56,86.27,0.83,8.3,427.97,23,18.2
"1166","38","17","IL19-15327 x IL18-4910","IL18-4910 x IL19-15327","38 x 17","17 x 38",132.5,37.73,58.42,84.64,0.82,7.54,411.9,275,2.13
"1167","8","17","IL19-18153 x IL18-4910","IL18-4910 x IL19-18153","8 x 17","17 x 8",132.47,36.27,58.76,85.34,0.81,9.48,414,204,4.23
"1168","30","17","IL19-18837 x IL18-4910","IL18-4910 x IL19-18837","30 x 17","17 x 30",132.87,36.19,58.57,83.68,0.74,8.12,406.64,469,-3.13
