"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1","25","2","IL16-23972 x IL16-8048","IL16-8048 x IL16-23972","25 x 2","2 x 25",133.97,36.49,57.81,84.24,0.73,9.78,399.82,646,-9.95
"2","25","11","IL16-23972 x IL17-17739","IL17-17739 x IL16-23972","25 x 11","11 x 25",134.83,37.77,58.6,85.63,0.58,7.43,409.6,363,-0.17
"3","25","9","IL16-23972 x IL17-23902","IL17-23902 x IL16-23972","25 x 9","9 x 25",133.1,37.06,57.83,86.29,0.89,11.48,409.65,360,-0.12
"4","25","16","IL16-23972 x IL17-23904","IL17-23904 x IL16-23972","25 x 16","16 x 25",132.91,35.96,57.65,86,1.22,17.12,396.57,705,-13.2
"5","25","42","IL16-23972 x IL17-8620","IL17-8620 x IL16-23972","25 x 42","42 x 25",131.64,35.88,57.86,82.59,0.78,15.61,399.57,651.5,-10.2
"6","25","26","IL16-23972 x IL17-8626","IL17-8626 x IL16-23972","25 x 26","26 x 25",132.12,35.02,57.94,81.74,0.69,13.06,397.82,685,-11.95
"7","25","21","IL16-23972 x IL17-8831","IL17-8831 x IL16-23972","25 x 21","21 x 25",133.95,35.71,57.57,86.49,0.79,10.67,404.36,539,-5.41
"8","25","5","IL16-23972 x IL18-14535","IL18-14535 x IL16-23972","25 x 5","5 x 25",132.26,35.44,57.78,84.74,0.82,12.96,406.17,483.5,-3.6
"9","25","24","IL16-23972 x IL18-15372","IL18-15372 x IL16-23972","25 x 24","24 x 25",132.25,35.66,58.13,84.67,0.82,11.79,410.25,341,0.48
"10","25","36","IL16-23972 x IL18-22767","IL18-22767 x IL16-23972","25 x 36","36 x 25",133.43,36.17,57.49,86.3,0.82,11.92,403.24,574,-6.53
"11","25","12","IL16-23972 x IL18-22976","IL18-22976 x IL16-23972","25 x 12","12 x 25",134.63,37.13,57.86,87.07,0.81,12.37,407.4,438.5,-2.37
"12","25","15","IL16-23972 x IL18-23760","IL18-23760 x IL16-23972","25 x 15","15 x 25",133.96,36.2,57.99,85.72,0.8,11.05,407.69,427,-2.08
"13","25","17","IL16-23972 x IL18-4910","IL18-4910 x IL16-23972","25 x 17","17 x 25",132.76,36.26,58.46,83.27,0.57,10.36,406.52,471,-3.25
"14","25","3","IL16-23972 x IL18MSFRS-18","IL18MSFRS-18 x IL16-23972","25 x 3","3 x 25",134.52,36.36,57.91,88.57,0.7,9.41,419.68,100,9.91
"15","25","33","IL16-23972 x IL19-10123","IL19-10123 x IL16-23972","25 x 33","33 x 25",131.64,36.15,57.82,84.46,0.92,11.67,407.48,433.5,-2.29
"16","25","23","IL16-23972 x IL19-12830","IL19-12830 x IL16-23972","25 x 23","23 x 25",133.42,36.43,58.03,84.27,0.86,11.6,402.35,597,-7.42
"17","25","37","IL16-23972 x IL19-13713","IL19-13713 x IL16-23972","25 x 37","37 x 25",132.12,35.65,57.87,83.55,0.58,6.5,411.08,316,1.31
"18","25","14","IL16-23972 x IL19-13942","IL19-13942 x IL16-23972","25 x 14","14 x 25",131.13,35.72,57.78,82.44,0.64,8.59,406.76,461.5,-3.01
"19","25","7","IL16-23972 x IL19-13978","IL19-13978 x IL16-23972","25 x 7","7 x 25",131.58,35.95,57.97,82.91,0.76,10.25,406.74,465.5,-3.03
"20","25","4","IL16-23972 x IL19-14617","IL19-14617 x IL16-23972","25 x 4","4 x 25",130.96,35.96,57.78,86.16,0.95,12.1,417.03,131,7.26
"21","25","1","IL16-23972 x IL19-14856","IL19-14856 x IL16-23972","25 x 1","1 x 25",131.36,36.56,57.65,87.03,0.75,9.28,422,69,12.23
"22","25","38","IL16-23972 x IL19-15327","IL19-15327 x IL16-23972","25 x 38","38 x 25",133.32,36.83,57.51,85.39,0.74,8.52,403.64,557,-6.13
"23","25","8","IL16-23972 x IL19-18153","IL19-18153 x IL16-23972","25 x 8","8 x 25",133.3,35.37,57.85,86.09,0.74,10.46,411.55,289,1.78
"24","25","30","IL16-23972 x IL19-18837","IL19-18837 x IL16-23972","25 x 30","30 x 25",133.69,35.29,57.65,84.43,0.66,9.1,400.92,628,-8.85
"25","25","32","IL16-23972 x IL19-21760","IL19-21760 x IL16-23972","25 x 32","32 x 25",132.74,35.1,57.47,84.16,0.66,12.35,398.84,664.5,-10.93
"26","25","10","IL16-23972 x IL19-22757","IL19-22757 x IL16-23972","25 x 10","10 x 25",132.88,36.19,58.35,84.3,0.81,11.21,406.18,482,-3.59
"27","25","31","IL16-23972 x IL19-23833","IL19-23833 x IL16-23972","25 x 31","31 x 25",133.68,36.54,58.07,85.71,0.79,12.1,408.57,399,-1.2
"28","25","28","IL16-23972 x IL19-27565","IL19-27565 x IL16-23972","25 x 28","28 x 25",133.81,36.94,58.7,83.85,0.56,7.51,406.37,474,-3.4
"29","25","35","IL16-23972 x IL19-3505","IL19-3505 x IL16-23972","25 x 35","35 x 25",132.38,36.47,57.76,85.12,0.66,8.39,412.69,249,2.92
"30","25","20","IL16-23972 x IL19-3528","IL19-3528 x IL16-23972","25 x 20","20 x 25",132.37,36.71,57.75,84.72,0.69,9.29,409.72,354.5,-0.05
"31","25","19","IL16-23972 x IL19-6946","IL19-6946 x IL16-23972","25 x 19","19 x 25",132.98,35.92,57.75,85.96,1.05,13.57,403.27,573,-6.5
"32","25","6","IL16-23972 x US16-IL-061-032","US16-IL-061-032 x IL16-23972","25 x 6","6 x 25",132.84,36.71,57.75,83.89,1.1,13.81,393.57,723,-16.2
"33","25","13","IL16-23972 x US16-IL-062-031","US16-IL-062-031 x IL16-23972","25 x 13","13 x 25",131.82,35.95,58.63,85.06,0.95,11.03,412.28,262.5,2.51
"34","25","29","IL16-23972 x US16-IL-062-109","US16-IL-062-109 x IL16-23972","25 x 29","29 x 25",133.53,35.85,57.83,85.97,0.98,11.8,404.47,536,-5.3
"35","25","18","IL16-23972 x US16-IL-063-063","US16-IL-063-063 x IL16-23972","25 x 18","18 x 25",132.42,35.07,57.6,83.11,0.95,14.75,391.51,732,-18.26
"36","25","27","IL16-23972 x US16-IL-064-095","US16-IL-064-095 x IL16-23972","25 x 27","27 x 25",133.19,36.1,58.12,84.62,0.83,11.5,405.61,501,-4.16
"37","25","34","IL16-23972 x US17-IL-108-039","US17-IL-108-039 x IL16-23972","25 x 34","34 x 25",135.32,35.83,57.81,87.08,0.9,13.39,400.85,630,-8.92
"38","25","39","IL16-23972 x US17-IL-108-070","US17-IL-108-070 x IL16-23972","25 x 39","39 x 25",134.48,36.44,58.35,84.83,0.85,14.2,398.35,677,-11.42
"39","2","11","IL16-8048 x IL17-17739","IL17-17739 x IL16-8048","2 x 11","11 x 2",135.22,38.89,58.86,85.86,0.81,5.87,405.83,496,-3.94
"40","2","9","IL16-8048 x IL17-23902","IL17-23902 x IL16-8048","2 x 9","9 x 2",133.49,38.18,58.1,86.51,1.13,9.91,408.75,395,-1.02
"41","2","16","IL16-8048 x IL17-23904","IL17-23904 x IL16-8048","2 x 16","16 x 2",133.3,37.08,57.92,86.23,1.46,15.56,397.36,697,-12.41
"42","2","42","IL16-8048 x IL17-8620","IL17-8620 x IL16-8048","2 x 42","42 x 2",132.03,37,58.13,82.81,1.01,14.04,398.12,681,-11.65
"43","2","26","IL16-8048 x IL17-8626","IL17-8626 x IL16-8048","2 x 26","26 x 2",132.51,36.13,58.21,81.97,0.93,11.5,395.08,713,-14.69
"44","2","21","IL16-8048 x IL17-8831","IL17-8831 x IL16-8048","2 x 21","21 x 2",134.34,36.83,57.83,86.72,1.02,9.11,405.2,513,-4.57
"45","2","5","IL16-8048 x IL18-14535","IL18-14535 x IL16-8048","2 x 5","5 x 2",132.65,36.56,58.05,84.97,1.05,11.4,406.06,488,-3.71
"46","2","24","IL16-8048 x IL18-15372","IL18-15372 x IL16-8048","2 x 24","24 x 2",132.64,36.78,58.4,84.9,1.06,10.23,406.5,472,-3.27
"47","2","36","IL16-8048 x IL18-22767","IL18-22767 x IL16-8048","2 x 36","36 x 2",133.82,37.29,57.76,86.52,1.05,10.35,404.07,546.5,-5.7
"48","2","12","IL16-8048 x IL18-22976","IL18-22976 x IL16-8048","2 x 12","12 x 2",135.02,38.25,58.13,87.29,1.04,10.81,405.97,491,-3.8
"49","2","15","IL16-8048 x IL18-23760","IL18-23760 x IL16-8048","2 x 15","15 x 2",134.35,37.32,58.26,85.95,1.03,9.49,404.07,546.5,-5.7
"50","2","17","IL16-8048 x IL18-4910","IL18-4910 x IL16-8048","2 x 17","17 x 2",133.15,37.38,58.73,83.49,0.81,8.8,402.83,582,-6.94
"51","2","3","IL16-8048 x IL18MSFRS-18","IL18MSFRS-18 x IL16-8048","2 x 3","3 x 2",134.91,37.48,58.18,88.8,0.93,7.85,417.36,126,7.59
"52","2","33","IL16-8048 x IL19-10123","IL19-10123 x IL16-8048","2 x 33","33 x 2",132.03,37.27,58.09,84.69,1.16,10.11,406.74,465.5,-3.03
"53","2","23","IL16-8048 x IL19-12830","IL19-12830 x IL16-8048","2 x 23","23 x 2",133.81,37.55,58.3,84.5,1.1,10.04,398.61,671,-11.16
"54","2","37","IL16-8048 x IL19-13713","IL19-13713 x IL16-8048","2 x 37","37 x 2",132.51,36.77,58.14,83.77,0.82,4.94,409.57,365,-0.2
"55","2","14","IL16-8048 x IL19-13942","IL19-13942 x IL16-8048","2 x 14","14 x 2",131.52,36.84,58.05,82.66,0.88,7.03,406.75,463.5,-3.02
"56","2","7","IL16-8048 x IL19-13978","IL19-13978 x IL16-8048","2 x 7","7 x 2",131.97,37.07,58.24,83.13,1,8.69,403.61,558,-6.16
"57","2","4","IL16-8048 x IL19-14617","IL19-14617 x IL16-8048","2 x 4","4 x 2",131.35,37.08,58.05,86.39,1.18,10.54,416.96,135,7.19
"58","2","1","IL16-8048 x IL19-14856","IL19-14856 x IL16-8048","2 x 1","1 x 2",131.75,37.68,57.92,87.25,0.99,7.72,422.85,61,13.08
"59","2","38","IL16-8048 x IL19-15327","IL19-15327 x IL16-8048","2 x 38","38 x 2",133.71,37.95,57.78,85.62,0.98,6.96,404.46,537,-5.31
"60","2","8","IL16-8048 x IL19-18153","IL19-18153 x IL16-8048","2 x 8","8 x 2",133.69,36.49,58.12,86.31,0.97,8.9,410.33,334.5,0.56
"61","2","30","IL16-8048 x IL19-18837","IL19-18837 x IL16-8048","2 x 30","30 x 2",134.08,36.41,57.92,84.65,0.9,7.54,401.72,612,-8.05
"62","2","32","IL16-8048 x IL19-21760","IL19-21760 x IL16-8048","2 x 32","32 x 2",133.13,36.22,57.73,84.38,0.9,10.79,399.63,649,-10.14
"63","2","10","IL16-8048 x IL19-22757","IL19-22757 x IL16-8048","2 x 10","10 x 2",133.27,37.31,58.62,84.53,1.04,9.65,402.45,593,-7.32
"64","2","31","IL16-8048 x IL19-23833","IL19-23833 x IL16-8048","2 x 31","31 x 2",134.07,37.66,58.34,85.94,1.02,10.53,404.79,526,-4.98
"65","2","28","IL16-8048 x IL19-27565","IL19-27565 x IL16-8048","2 x 28","28 x 2",134.2,38.06,58.96,84.07,0.79,5.95,402.67,586,-7.1
"66","2","35","IL16-8048 x IL19-3505","IL19-3505 x IL16-8048","2 x 35","35 x 2",132.77,37.59,58.03,85.35,0.89,6.83,413.08,234.5,3.31
"67","2","20","IL16-8048 x IL19-3528","IL19-3528 x IL16-8048","2 x 20","20 x 2",132.76,37.83,58.02,84.95,0.92,7.72,410.17,344,0.4
"68","2","19","IL16-8048 x IL19-6946","IL19-6946 x IL16-8048","2 x 19","19 x 2",133.37,37.04,58.02,86.18,1.29,12,403.72,554,-6.05
"69","2","6","IL16-8048 x US16-IL-061-032","US16-IL-061-032 x IL16-8048","2 x 6","6 x 2",133.23,37.83,58.01,84.12,1.34,12.25,394.1,719,-15.67
"70","2","13","IL16-8048 x US16-IL-062-031","US16-IL-062-031 x IL16-8048","2 x 13","13 x 2",132.21,37.07,58.9,85.28,1.19,9.47,408.52,400,-1.25
"71","2","29","IL16-8048 x US16-IL-062-109","US16-IL-062-109 x IL16-8048","2 x 29","29 x 2",133.92,36.97,58.1,86.2,1.22,10.23,403.6,559,-6.17
"72","2","18","IL16-8048 x US16-IL-063-063","US16-IL-063-063 x IL16-8048","2 x 18","18 x 2",132.81,36.19,57.87,83.33,1.19,13.18,392.26,730,-17.51
"73","2","27","IL16-8048 x US16-IL-064-095","US16-IL-064-095 x IL16-8048","2 x 27","27 x 2",133.58,37.22,58.39,84.85,1.07,9.94,401.86,607.5,-7.91
"74","2","34","IL16-8048 x US17-IL-108-039","US17-IL-108-039 x IL16-8048","2 x 34","34 x 2",135.71,36.95,58.07,87.31,1.14,11.82,400.4,639,-9.37
"75","2","39","IL16-8048 x US17-IL-108-070","US17-IL-108-070 x IL16-8048","2 x 39","39 x 2",134.87,37.55,58.62,85.06,1.08,12.64,394.59,716,-15.18
"76","11","9","IL17-17739 x IL17-23902","IL17-23902 x IL17-17739","11 x 9","9 x 11",134.35,39.47,58.88,87.9,0.97,7.57,415.4,173,5.63
"77","11","16","IL17-17739 x IL17-23904","IL17-23904 x IL17-17739","11 x 16","16 x 11",134.16,38.37,58.7,87.62,1.3,13.21,405.31,509.5,-4.46
"78","11","42","IL17-17739 x IL17-8620","IL17-8620 x IL17-17739","11 x 42","42 x 11",132.88,38.29,58.92,84.2,0.86,11.69,404.57,531,-5.2
"79","11","26","IL17-17739 x IL17-8626","IL17-8626 x IL17-17739","11 x 26","26 x 11",133.37,37.42,59,83.36,0.77,9.15,401.54,616,-8.23
"80","11","21","IL17-17739 x IL17-8831","IL17-8831 x IL17-17739","11 x 21","21 x 11",135.2,38.12,58.62,88.11,0.87,6.76,414.77,186,5
"81","11","5","IL17-17739 x IL18-14535","IL18-14535 x IL17-17739","11 x 5","5 x 11",133.51,37.85,58.84,86.36,0.89,9.05,412.64,252,2.87
"82","11","24","IL17-17739 x IL18-15372","IL18-15372 x IL17-17739","11 x 24","24 x 11",133.5,38.06,59.18,86.29,0.9,7.88,413.08,234.5,3.31
"83","11","36","IL17-17739 x IL18-22767","IL18-22767 x IL17-17739","11 x 36","36 x 11",134.68,38.58,58.54,87.92,0.9,8,414.96,183,5.19
"84","11","12","IL17-17739 x IL18-22976","IL18-22976 x IL17-17739","11 x 12","12 x 11",135.87,39.54,58.91,88.68,0.89,8.46,412.68,250,2.91
"85","11","15","IL17-17739 x IL18-23760","IL18-23760 x IL17-17739","11 x 15","15 x 11",135.21,38.6,59.04,87.34,0.88,7.14,410.73,326,0.96
"86","11","17","IL17-17739 x IL18-4910","IL18-4910 x IL17-17739","11 x 17","17 x 11",134,38.67,59.51,84.88,0.65,6.45,409.43,373,-0.34
"87","11","3","IL17-17739 x IL18MSFRS-18","IL18MSFRS-18 x IL17-17739","11 x 3","3 x 11",135.76,38.77,58.96,90.19,0.78,5.5,424.2,48,14.43
"88","11","33","IL17-17739 x IL19-10123","IL19-10123 x IL17-17739","11 x 33","33 x 11",132.89,38.55,58.87,86.08,1,7.76,413.29,228,3.52
"89","11","23","IL17-17739 x IL19-12830","IL19-12830 x IL17-17739","11 x 23","23 x 11",134.67,38.83,59.08,85.89,0.94,7.69,405.17,514,-4.6
"90","11","37","IL17-17739 x IL19-13713","IL19-13713 x IL17-17739","11 x 37","37 x 11",133.36,38.06,58.92,85.16,0.66,2.59,416.22,155,6.45
"91","11","14","IL17-17739 x IL19-13942","IL19-13942 x IL17-17739","11 x 14","14 x 11",132.38,38.12,58.83,84.05,0.72,4.68,413.31,226,3.54
"92","11","7","IL17-17739 x IL19-13978","IL19-13978 x IL17-17739","11 x 7","7 x 11",132.83,38.36,59.02,84.52,0.84,6.34,410.14,346.5,0.37
"93","11","4","IL17-17739 x IL19-14617","IL19-14617 x IL17-17739","11 x 4","4 x 11",132.21,38.36,58.83,87.78,1.03,8.19,423.59,56,13.82
"94","11","1","IL17-17739 x IL19-14856","IL19-14856 x IL17-17739","11 x 1","1 x 11",132.61,38.97,58.7,88.64,0.83,5.37,431.04,12,21.27
"95","11","38","IL17-17739 x IL19-15327","IL19-15327 x IL17-17739","11 x 38","38 x 11",134.57,39.24,58.56,87.01,0.82,4.61,414.94,184,5.17
"96","11","8","IL17-17739 x IL19-18153","IL19-18153 x IL17-17739","11 x 8","8 x 11",134.54,37.78,58.9,87.71,0.82,6.55,417.02,132,7.25
"97","11","30","IL17-17739 x IL19-18837","IL19-18837 x IL17-17739","11 x 30","30 x 11",134.94,37.69,58.7,86.04,0.74,5.19,409.69,357.5,-0.08
"98","11","32","IL17-17739 x IL19-21760","IL19-21760 x IL17-17739","11 x 32","32 x 11",133.99,37.51,58.52,85.77,0.74,8.44,410.72,327.5,0.95
"99","11","10","IL17-17739 x IL19-22757","IL19-22757 x IL17-17739","11 x 10","10 x 11",134.12,38.6,59.4,85.92,0.89,7.3,409.03,386.5,-0.74
"100","11","31","IL17-17739 x IL19-23833","IL19-23833 x IL17-17739","11 x 31","31 x 11",134.93,38.95,59.12,87.33,0.87,8.18,411.43,296,1.66
"101","11","28","IL17-17739 x IL19-27565","IL19-27565 x IL17-17739","11 x 28","28 x 11",135.06,39.34,59.75,85.46,0.64,3.6,409.34,376.5,-0.43
"102","11","35","IL17-17739 x IL19-3505","IL19-3505 x IL17-17739","11 x 35","35 x 11",133.62,38.87,58.81,86.74,0.73,4.48,419.78,97,10.01
"103","11","20","IL17-17739 x IL19-3528","IL19-3528 x IL17-17739","11 x 20","20 x 11",133.62,39.11,58.8,86.34,0.76,5.37,416.83,142,7.06
"104","11","19","IL17-17739 x IL19-6946","IL19-6946 x IL17-17739","11 x 19","19 x 11",134.23,38.32,58.8,87.58,1.13,9.66,410.28,338.5,0.51
"105","11","6","IL17-17739 x US16-IL-061-032","US16-IL-061-032 x IL17-17739","11 x 6","6 x 11",134.09,39.12,58.8,85.51,1.18,9.9,400.54,637,-9.23
"106","11","13","IL17-17739 x US16-IL-062-031","US16-IL-062-031 x IL17-17739","11 x 13","13 x 11",133.07,38.35,59.68,86.67,1.03,7.12,415.09,179,5.32
"107","11","29","IL17-17739 x US16-IL-062-109","US16-IL-062-109 x IL17-17739","11 x 29","29 x 11",134.78,38.25,58.88,87.59,1.06,7.89,410.2,343,0.43
"108","11","18","IL17-17739 x US16-IL-063-063","US16-IL-063-063 x IL17-17739","11 x 18","18 x 11",133.67,37.47,58.65,84.72,1.03,10.83,400.83,631,-8.94
"109","11","27","IL17-17739 x US16-IL-064-095","US16-IL-064-095 x IL17-17739","11 x 27","27 x 11",134.44,38.51,59.17,86.24,0.91,7.59,408.44,404,-1.33
"110","11","34","IL17-17739 x US17-IL-108-039","US17-IL-108-039 x IL17-17739","11 x 34","34 x 11",136.57,38.23,58.86,88.7,0.98,9.47,407.07,454,-2.7
"111","11","39","IL17-17739 x US17-IL-108-070","US17-IL-108-070 x IL17-17739","11 x 39","39 x 11",135.73,38.84,59.4,86.45,0.92,10.29,401.15,627,-8.62
"112","9","16","IL17-23902 x IL17-23904","IL17-23904 x IL17-23902","9 x 16","16 x 9",132.43,37.66,57.93,88.27,1.62,17.25,406.76,461.5,-3.01
"113","9","42","IL17-23902 x IL17-8620","IL17-8620 x IL17-23902","9 x 42","42 x 9",131.16,37.58,58.15,84.86,1.17,15.74,407.62,429,-2.15
"114","9","26","IL17-23902 x IL17-8626","IL17-8626 x IL17-23902","9 x 26","26 x 9",131.64,36.71,58.23,84.01,1.09,13.2,404.69,529,-5.08
"115","9","21","IL17-23902 x IL17-8831","IL17-8831 x IL17-23902","9 x 21","21 x 9",133.47,37.4,57.85,88.76,1.18,10.8,414.82,185,5.05
"116","9","5","IL17-23902 x IL18-14535","IL18-14535 x IL17-23902","9 x 5","5 x 9",131.78,37.13,58.07,87.01,1.21,13.1,415.48,172,5.71
"117","9","24","IL17-23902 x IL18-15372","IL18-15372 x IL17-23902","9 x 24","24 x 9",131.77,37.35,58.41,86.94,1.22,11.92,415.94,161,6.17
"118","9","36","IL17-23902 x IL18-22767","IL18-22767 x IL17-23902","9 x 36","36 x 9",132.95,37.87,57.77,88.57,1.21,12.05,413.64,216,3.87
"119","9","12","IL17-23902 x IL18-22976","IL18-22976 x IL17-23902","9 x 12","12 x 9",134.15,38.82,58.15,89.34,1.2,12.5,415.3,174,5.53
"120","9","15","IL17-23902 x IL18-23760","IL18-23760 x IL17-23902","9 x 15","15 x 9",133.48,37.89,58.28,87.99,1.19,11.19,413.49,221,3.72
"121","9","17","IL17-23902 x IL18-4910","IL18-4910 x IL17-23902","9 x 17","17 x 9",132.28,37.96,58.74,85.54,0.97,10.49,412.47,255,2.7
"122","9","3","IL17-23902 x IL18MSFRS-18","IL18MSFRS-18 x IL17-23902","9 x 3","3 x 9",134.04,38.06,58.2,90.84,1.09,9.54,426.71,33,16.94
"123","9","33","IL17-23902 x IL19-10123","IL19-10123 x IL17-23902","9 x 33","33 x 9",131.16,37.84,58.11,86.73,1.32,11.81,416.15,157,6.38
"124","9","23","IL17-23902 x IL19-12830","IL19-12830 x IL17-23902","9 x 23","23 x 9",132.94,38.12,58.32,86.54,1.26,11.74,408.06,415,-1.71
"125","9","37","IL17-23902 x IL19-13713","IL19-13713 x IL17-23902","9 x 37","37 x 9",131.64,37.34,58.16,85.82,0.98,6.63,419.25,105.5,9.48
"126","9","14","IL17-23902 x IL19-13942","IL19-13942 x IL17-23902","9 x 14","14 x 9",130.65,37.41,58.06,84.71,1.04,8.73,416.42,150,6.65
"127","9","7","IL17-23902 x IL19-13978","IL19-13978 x IL17-23902","9 x 7","7 x 9",131.1,37.64,58.25,85.18,1.16,10.39,413.18,230,3.41
"128","9","4","IL17-23902 x IL19-14617","IL19-14617 x IL17-23902","9 x 4","4 x 9",130.48,37.65,58.07,88.43,1.34,12.23,426.28,36,16.51
"129","9","1","IL17-23902 x IL19-14856","IL19-14856 x IL17-23902","9 x 1","1 x 9",130.88,38.26,57.93,89.3,1.15,9.41,432.52,9,22.75
"130","9","38","IL17-23902 x IL19-15327","IL19-15327 x IL17-23902","9 x 38","38 x 9",132.84,38.52,57.79,87.66,1.14,8.65,414.16,200,4.39
"131","9","8","IL17-23902 x IL19-18153","IL19-18153 x IL17-23902","9 x 8","8 x 9",132.82,37.07,58.14,88.36,1.13,10.59,419.76,98,9.99
"132","9","30","IL17-23902 x IL19-18837","IL19-18837 x IL17-23902","9 x 30","30 x 9",133.21,36.98,57.94,86.7,1.06,9.24,411.55,289,1.78
"133","9","32","IL17-23902 x IL19-21760","IL19-21760 x IL17-23902","9 x 32","32 x 9",132.26,36.79,57.75,86.43,1.06,12.49,409.34,376.5,-0.43
"134","9","10","IL17-23902 x IL19-22757","IL19-22757 x IL17-23902","9 x 10","10 x 9",132.4,37.89,58.63,86.57,1.2,11.35,411.92,273,2.15
"135","9","31","IL17-23902 x IL19-23833","IL19-23833 x IL17-23902","9 x 31","31 x 9",133.2,38.24,58.35,87.98,1.19,12.23,414.19,198,4.42
"136","9","28","IL17-23902 x IL19-27565","IL19-27565 x IL17-23902","9 x 28","28 x 9",133.33,38.63,58.98,86.12,0.95,7.65,412.33,260,2.56
"137","9","35","IL17-23902 x IL19-3505","IL19-3505 x IL17-23902","9 x 35","35 x 9",131.89,38.16,58.04,87.39,1.05,8.53,422.63,63,12.86
"138","9","20","IL17-23902 x IL19-3528","IL19-3528 x IL17-23902","9 x 20","20 x 9",131.89,38.4,58.04,86.99,1.08,9.42,419.71,99,9.94
"139","9","19","IL17-23902 x IL19-6946","IL19-6946 x IL17-23902","9 x 19","19 x 9",132.5,37.61,58.04,88.23,1.45,13.7,412.98,237,3.21
"140","9","6","IL17-23902 x US16-IL-061-032","US16-IL-061-032 x IL17-23902","9 x 6","6 x 9",132.36,38.4,58.03,86.16,1.5,13.95,403.43,565,-6.34
"141","9","13","IL17-23902 x US16-IL-062-031","US16-IL-062-031 x IL17-23902","9 x 13","13 x 9",131.34,37.64,58.92,87.33,1.35,11.16,417.9,115,8.13
"142","9","29","IL17-23902 x US16-IL-062-109","US16-IL-062-109 x IL17-23902","9 x 29","29 x 9",133.05,37.54,58.12,88.24,1.38,11.93,412.92,241,3.15
"143","9","18","IL17-23902 x US16-IL-063-063","US16-IL-063-063 x IL17-23902","9 x 18","18 x 9",131.94,36.76,57.89,85.38,1.35,14.88,401.91,606,-7.86
"144","9","27","IL17-23902 x US16-IL-064-095","US16-IL-064-095 x IL17-23902","9 x 27","27 x 9",132.71,37.79,58.41,86.89,1.23,11.63,411.31,304,1.54
"145","9","34","IL17-23902 x US17-IL-108-039","US17-IL-108-039 x IL17-23902","9 x 34","34 x 9",134.84,37.52,58.09,89.35,1.3,13.52,409.67,359,-0.1
"146","9","39","IL17-23902 x US17-IL-108-070","US17-IL-108-070 x IL17-23902","9 x 39","39 x 9",134,38.13,58.64,87.1,1.24,14.34,403.98,550,-5.79
"147","16","42","IL17-23904 x IL17-8620","IL17-8620 x IL17-23904","16 x 42","42 x 16",130.97,36.48,57.97,84.57,1.5,21.38,397.31,699,-12.46
"148","16","26","IL17-23904 x IL17-8626","IL17-8626 x IL17-23904","16 x 26","26 x 16",131.45,35.61,58.05,83.73,1.41,18.84,395.04,714,-14.73
"149","16","21","IL17-23904 x IL17-8831","IL17-8831 x IL17-23904","16 x 21","21 x 16",133.28,36.31,57.67,88.48,1.51,16.45,401.39,620.5,-8.38
"150","16","5","IL17-23904 x IL18-14535","IL18-14535 x IL17-23904","16 x 5","5 x 16",131.59,36.04,57.89,86.72,1.54,18.74,403.53,563,-6.24
"151","16","24","IL17-23904 x IL18-15372","IL18-15372 x IL17-23904","16 x 24","24 x 16",131.58,36.26,58.23,86.65,1.54,17.57,405.98,490,-3.79
"152","16","36","IL17-23904 x IL18-22767","IL18-22767 x IL17-23904","16 x 36","36 x 16",132.76,36.77,57.59,88.28,1.54,17.69,400.24,641,-9.53
"153","16","12","IL17-23904 x IL18-22976","IL18-22976 x IL17-23904","16 x 12","12 x 16",133.95,37.73,57.96,89.05,1.53,18.15,404.42,538,-5.35
"154","16","15","IL17-23904 x IL18-23760","IL18-23760 x IL17-23904","16 x 15","15 x 16",133.29,36.79,58.09,87.71,1.52,16.83,403.41,566.5,-6.36
"155","16","17","IL17-23904 x IL18-4910","IL18-4910 x IL17-23904","16 x 17","17 x 16",132.08,36.86,58.56,85.25,1.29,16.14,402.64,588,-7.13
"156","16","3","IL17-23904 x IL18MSFRS-18","IL18MSFRS-18 x IL17-23904","16 x 3","3 x 16",133.85,36.96,58.01,90.55,1.42,15.19,416.31,151,6.54
"157","16","33","IL17-23904 x IL19-10123","IL19-10123 x IL17-23904","16 x 33","33 x 16",130.97,36.74,57.92,86.44,1.65,17.45,404.89,524,-4.88
"158","16","23","IL17-23904 x IL19-12830","IL19-12830 x IL17-23904","16 x 23","23 x 16",132.75,37.02,58.13,86.26,1.58,17.38,398.14,680,-11.63
"159","16","37","IL17-23904 x IL19-13713","IL19-13713 x IL17-23904","16 x 37","37 x 16",131.44,36.25,57.97,85.53,1.3,12.28,408.88,391,-0.89
"160","16","14","IL17-23904 x IL19-13942","IL19-13942 x IL17-23904","16 x 14","14 x 16",130.46,36.32,57.88,84.42,1.36,14.37,404.66,530,-5.11
"161","16","7","IL17-23904 x IL19-13978","IL19-13978 x IL17-23904","16 x 7","7 x 16",130.91,36.55,58.07,84.89,1.49,16.03,403.41,566.5,-6.36
"162","16","4","IL17-23904 x IL19-14617","IL19-14617 x IL17-23904","16 x 4","4 x 16",130.29,36.56,57.88,88.15,1.67,17.87,414.12,201,4.35
"163","16","1","IL17-23904 x IL19-14856","IL19-14856 x IL17-23904","16 x 1","1 x 16",130.69,37.16,57.75,89.01,1.48,15.06,419.01,107,9.24
